Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
"Flortaucipir F18, Brain PET scan",NCT02167594,P1,"CBD, PSP",29,baseline and 9 month scans,"Flortaucipir Imaging in PSP, CBD and Healthy Volunteers",,2014,2020; Completed,,,biom,
High frequency and intensive prevention program,NCT04103255,N/A,"MCI, PD",6,"Before and after 4 w of training, After 6-month","The Reliable Change Index in in Mini Mental Status (MMS; Folstein et al., 1975); The Reliable Change Index in Montreal Cognitive Assessment (MoCA; Nasreddine et al., 2005); The Reliable Change Index in the Semantic (Morris et al., 1989) and the Phonemic (Thurstone, 1948) fluency; The Reliable Change Index in the Five-Point Test (Regard, Strauss, & Knapp, 1982); The Reliable Change Index in the Trail Making Test (TMT; Reitan, 1958); The Reliable Change Index in the Stroop Test (Stroop, 1935); The Reliable Change Index in Modified Wisconsin Card Sorting Test (mWCST; Nelson, 1976); The Reliable Change Index in California Verbal Learning Test (CVLT; Delis, Kramer, Ober, & Kaplan, 1987); The Reliable Change Index in Digit Span and the Corsi Block Test (Härtig et al., 2000); The Reliable Change Index in the 15-item version of the Boston Naming Test (Kaplan et al., 1978); Apathy Evaluation Scale (AES; Marin, Biedrzycki, & Firinciogullari, 1991; German version: Lueken et al., 2006); The Reliable Change Index in Beck Depression Inventory (Beck et al. Arch Gen Psychiatry 1961); The Reliable Change Index in Beck Angst Inventory (BAI; Ehlers & Margraf, 2007); The Reliable Change Index in Parkinson's disease fatigue scale (PFS; Brown, Dittner, Findley, & Wessely, 2005); The Reliable Change Index in the PDQ-39; The Reliable Change Index in Barratt-Impulsiveness-Scale; NEO-FFI-30 (Körner et al., 2008); The locus of Control Scale (The IE-4 scale) ( Julian B. Rotter et al., 1966); The Reliable Change Index in AST - Apraxia Screen of TULIA; The Reliable Change Index in Rey-Osterrieth complex figure, Copy (Duley et al., 1993); Electroencephalogram (EEG); Near-infrared spectroscopy; The Reliable Change Index in the sum of the Unified Parkinson's Disease Rating Scale (UPDRS) Part I + UPDRS Part II +UPDRS Part III +UPDRS Part IV; Non Motor Symptom Assessment Scale for Parkinson's disease; The SEIQoL-DW ((Schedule for the Evaluation of Individual Quality of Life - Direct Weighting)",,2019,2020; Recruiting,,,behav,
Palliative Care,NCT03076671,N/A,"AD, PD, FTDLD, CBD, MSA",632,Up to 6 m,Quality of Life Alzheimer's Disease (QOL-AD); Zarit Burden of Care Instrument (ZBI); McGill Quality of Life Questionnaire (MQOL); Hospital Anxiety and Depression Scale (HADS); Edmonton Symptom Assessment Scale (ESAS_PD); Functional Assessment of Chronic Illness Therapy-Spiritual Wellbeing (FACIT-SP 12 Item); Prolonged Grief Questionnaire (PG-12); Semi-structured Qualitative Interview; Montreal Cognitive Assessment (MOCA); Healthcare Utilization Form; Palliative Performance Scale; Clinical Global Impression of Change; Treatment Documentation Form; Modified Caregiver Strain Index; Needs at End of Life Screening Tool; Neuropsychiatric Inventory,,2017,"2020; Active, not recruiting",,,device,
"Listed for each disorder below, up to three drugs per disorder (too many characters to list in this field; see Intervention Description)",NCT02670161,P4,"PD, MCI",3300,one year,survival free of discontinuation or alternative prevention drug (migraine trial); survival free of disability measured by FAQ score 9+ (memory trial); survival free of discontinuation or alternative anti epileptic drug (epilepsy trial),,2016,2020; Enrolling by invitation,,,device,
Observational Study,NCT01804452,,"CBD, PSP",110,"Baseline, 6 m and 1 year",Eye movement function; Brain volume on MRI; Progressive Supranuclear Palsy Rating Scale,,2013,2020; Recruiting,,,biom,
"Active Transcranial Direct Current Stimulation (tDCS), Sham Transcranial Direct Current Stimulation (tDCS)",NCT04507815,N/A,"MCI, AD",50,Change between baseline and 3 week follow-up; 3 and 6 m following study baseline,Change in Brief Test of Adult Cognition by Telephone (BTACT),,2020,2020; Not yet recruiting,,,device,
"Attention-Control Condition, Timed Activity Intervention",NCT03682185,P3,"AD, FTDLD, MCI",200,30 d,The Quality of Life in Alzheimer's Disease Scale (QOL-AD); Neuropsychiatric Inventory (NPI); Circadian Rhythm Symptoms from actigraphy,,2018,2020; Recruiting,,,behav,
"low carbohydrate/high fat diet, low fat/high carbohydrate diet",NCT03472664,N/A,"AD, MCI",120,16 Weeks,Cerebrospinal Fluid (CSF) Abeta42; CSF abeta42/ptau ratio; Preclinical Alzheimer Cognitive Composite (PACC); Cerebral Blood Flow Measure with Arterial Spin Labeling (ASL) MRI,,2018,2020; Recruiting,,,suppl,
"Registry, PK microsampling of blood",NCT03886753,,"ALS, PD, HD",10,2 years,Change in symptoms; Description and incidence of patient or caregiver reported side effects; Changes in drug concentrations; Rate of bioavailabilty; Volume of distribution; Report area under the plasma concentration versus time curve (AUC); Report half-life; Assess therapeutic range,,2019,2020; Terminated,,,drug,
"Music Intervention, Reading Intervention",NCT03907748,N/A,"DLB, AD",990,"Phone calls at w 2, 4, 6, 8, 10, 12","Change from baseline of behavioural and psychological symptoms of participants with dementia at post-intervention and 6-month follow-up; Change from baseline of depression in participants with dementia at post-intervention and 6-month follow-up; Change from baseline of quality of life of participants with dementia at post-intervention and 6-month follow-up; Change from baseline of depression in caregiver participants at post-intervention and 6-month follow-up; Change from baseline of resilience in caregiver participants at post-intervention and 6-month follow-up; Change from baseline in caregiver competence of caregiver participants at post-intervention and 6-month follow-up; Change from baseline in quality of life of caregiver participants at post-intervention and 6-month follow-up; Change from baseline in quality of the relationship between caregiver and person with dementia at post-intervention and 6-month follow-up; Change from baseline in quality of adjusted life-years of caregiver and person with dementia at post-intervention and 6-month follow-up; Change from baseline in resource use of both caregiver and person with dementia (cost-effectiveness) at post-intervention and 6-month follow-up; Intervention dosage throughout intervention; Caregivers' experiences of delivering the music and reading interventions; Caregivers' experiences and reactions to the music and reading intervention training sessions; Caregivers' adherence to programme and ability to apply the learning from the training sessions in their day-to-day caring; Change from baseline of cognition of participants with dementia at post-intervention to explore relationship between cognitive decline, behavioural and psychological symptoms of dementia, depression and response to different conditions; Adverse events",,2019,2020; Recruiting,,,behav,
Observational Study,#NAME?,,"PSP, CBD",232,"Baseline, 6-m, 1-year, and 2-years.","Tau-PET Brain Scan; Amyloid-PET Brain Scan; Brain Volume on MRI; Progressive Supranuclear Palsy Rating Scale (PSPRS); Corticobasal Degeneration Functional Scale (CBDFS); Eye Movement Function; Retinal Imaging; UDS Neuropsychological Testing Battery, including supplemental FTLD Module",,2016,2020; Recruiting,,,biom,
Focused Transcranial Ultrasound,NCT04250376,N/A,"MCI, AD, PD",100,After final ultrasound (8 w from baseline),Quick Dementia Rating Scale; Repeatable Battery Assessment for Neuropsychological Status (RBANS); Montreal Cognitive Assessment (MoCA); Quick Dementia Rating Scale (QDRS),,2020,2020; Enrolling by invitation,,,device,
ApoE,NCT03654911,,"MCI, AD",150,2 years,Biomarkers: EEG; Biomarker: ApoE4; Biomarker: Accuracy of digital classifier,,2018,2020; Completed,,,biom,
Preventive strategies advice and dementia risk estimate disclosure,NCT03847038,N/A,"AD, MCI",425,1 year,Risk/benefit of disclosing dementia risk with a PERSONALISED and INDIVIDUALISED approach,,2019,2020; Recruiting,,,behav,
No intervention,NCT03851523,,"MCI, AD",400,at inclusion,Subjective Cognitive Decline Questionnaire (my-Cog); Subjective Cognitive Decline Questionnaire (their-Cog),,2019,2020; Recruiting,,,delete,
prevalence of behavioural dysexecutive syndrome,NCT02819700,,"AD, HD, FTDLD",49,Day 0,ISDC (Behavioural Dysexecutive Syndrome Inventory),,2016,2020; Completed,,,delete,
"BCI-FIT multi-modal access, BCI-FIT adaptive signal modeling, BCI-FIT active querying, BCI-FIT language modeling",NCT04468919,N/A,"PD, ALS, MSA",60,12 data collection sessions over 12 w (1 session/week) to assess change,Typing Accuracy; Typing Speed; Information transfer rate; User experience,,2020,2020; Not yet recruiting,,,device,
High Intensity Endurance Exercise,NCT03542474,N/A,"MCI, PD",8,Baseline and 6 Months,6 Month Change in Peripheral Levels of Neurotrophic Factors in Plasma; 6 Month Change in Soluble Inflammatory Biomarkers in Plasma; 6 Month Change in Salivary Cortisol Levels; 6 Month Change in Functional Connectivity Among Brain Networks on Resting State fMRI; 6 Month Change in Microstructural Integrity of White Matter Pathways on Diffusion Tensor Imaging; 6 Month Change in Hippocampus Volumes on Structural MRI; New Freezing of Gait Questionnaire; Activities Specific Balance Confidence Scale; Six Minute Walk Test; Timed Up and Go Test (TUG); Mini Balance Evaluation Systems Test; Intersecting Pentagon Copying Test; Benton Judgement of Line Orientation Test; Verbal Fluency Test; The Boston Naming Test; 6 Month Change in Quality of Life Evaluated by the Parkinson Disease Questionnaire 39 (PDQ-39); 6 Month Change in Quality of Life Evaluated by the Parkinson Disease Neuro Quality of Life (Neuro-QOL); 6 Month Change in Mood Evaluated by the Hamilton Depression Scale (HAM-D); 6 Month Change in Fatigue Evaluated by the Fatigue Severity Scale; 6 Month Change in Sleep Quality Evaluated by the Pittsburg Sleep Quality Index (PSQI); 6 Month Change in Sleep Quality Evaluated by the Epworth Sleepiness Scale (ESS); 6 Month Change in Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Motor (Part III) Score; 6 Month Change in Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Part IV Motor Complications Score; 6 Month Change in Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Part I Non Motor Experiences of Daily Living Score; 6 Month Change in Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Part II (Motor Experiences of Daily Living); 6 Month Change in Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Total Score; Mean Change in Cognitive Function,,2018,2020; Completed,,,behav,
Donepezil,NCT01951118,P4,"AD, MCI",121,"Week 0, Week 8, Week 26, Week 52",Measurement of Everyday Cognition (Ecog); Treatment Emergent Symptom Scale (TESS); Wechsler Memory Scale (WMS)-R Digit Span; Boston Naming Test (BNT); Controlled Word Association (CFL); Wechsler Adult Intelligence Scale (WAIS) -III Digit Symbol Subtest; Trail Making Test (Parts A and B); Mini-Mental State Examination - MMSE; Pfeffer Functional Activities Questionnaire (FAQ); Clinician's Interview Based Impression (CIBIC-plus); Alzheimer's Disease Assessment Scale - Cognitive (ADAS-Cog); Change Over Time in Selective Reminding Test (SRT) Scores,,2013,2020; Completed,,,drug,biom
Phonetic complexity effects on speech motor performance,NCT03613038,N/A,"PD, ALS",150,Up to 3 m after enrollment,Peak movement speed; Range of movement; Duration; Spatiotemporal movement variability (STI); Inter-articulator coordination,,2018,2020; Recruiting,,,delete,
Ophthalmological exam,NCT04389437,N/A,"AD, PD",450,Baseline (Inclusion),Wall to lumen ratio (WLR),,2020,2020; Recruiting,,,biom,
"Computerized Cognitive Training, Documentaries with delayed Computerized Cognitive Training",NCT04452864,N/A,"AD, MCI",162,"Secondary endpoints will be assessed two to four times, depending on the study arm, as MRI assessments are not always performed after six and nine m.",Change in AD specific component score; MRI functional and structural,,2020,2020; Not yet recruiting,,,device,
"N-831(Traneurocin) 10 mg QD, NA-831 (Traneurocin) 20 mg QD, NA-831 (Traneurocin) 40 mg QD",NCT03538522,P2,"DLB, AD, MCI",126,Week 24,Change from baseline in Clinical Dementia Rating Scale- Sum of Boxes (CDR-SB) score at Week 24; 1. Mean difference between the last (Week 24) and first (Week 2) postdose using Clinical Dementia Rating Scale- Sum of Boxes (CDR-SB) assessment; Assess the change from baseline in ADCS-ADL MCI at Week 24,,2018,2020; Completed,,,drug,
"grape seed polyphenolic extract, resveratrol",NCT02502253,P1,"AD, MCI",48,4 m,"Assessment of Adverse Events (AEs) and Serious Adverse Events (SAEs); Confirm brain penetrance of BDPP by measuring levels of BDPP constituents in cerebrospinal fluid (CSF).; Evaluate BDPP effect on mood with Neuropsychiatric Inventory and Cornell Scale for Depression in Dementia.; Evaluate BDPP effect on cognition with a composite battery of memory, executive function, and attention measures (composite)",,2015,2020; Recruiting,,,suppl,
